Date,incident_date,incident_subcategory,incident_id,Year
2019-01-01,2019-01-01,Bicycle,1,2019
2019-01-01,2019-01-01,From Building,9,2019
2019-01-01,2019-01-01,From Vehicle,56,2019
2019-01-01,2019-01-01,Other,38,2019
2019-01-01,2019-01-01,Pickpocket,5,2019
2019-01-01,2019-01-01,Shoplifting,4,2019
2019-01-02,2019-01-02,From Building,7,2019
2019-01-02,2019-01-02,From Vehicle,63,2019
2019-01-02,2019-01-02,Other,24,2019
2019-01-02,2019-01-02,Shoplifting,4,2019
2019-01-03,2019-01-03,From Building,8,2019
2019-01-03,2019-01-03,From Vehicle,80,2019
2019-01-03,2019-01-03,Other,23,2019
2019-01-03,2019-01-03,Pickpocket,1,2019
2019-01-03,2019-01-03,Shoplifting,9,2019
2019-01-04,2019-01-04,Bicycle,1,2019
2019-01-04,2019-01-04,From Building,8,2019
2019-01-04,2019-01-04,From Vehicle,84,2019
2019-01-04,2019-01-04,Other,35,2019
2019-01-04,2019-01-04,Pickpocket,4,2019
2019-01-04,2019-01-04,Shoplifting,9,2019
2019-01-05,2019-01-05,From Building,1,2019
2019-01-05,2019-01-05,From Vehicle,106,2019
2019-01-05,2019-01-05,Other,28,2019
2019-01-05,2019-01-05,Shoplifting,8,2019
2019-01-06,2019-01-06,From Building,5,2019
2019-01-06,2019-01-06,From Vehicle,70,2019
2019-01-06,2019-01-06,Other,23,2019
2019-01-06,2019-01-06,Shoplifting,6,2019
2019-01-07,2019-01-07,From Building,7,2019
2019-01-07,2019-01-07,From Vehicle,75,2019
2019-01-07,2019-01-07,Other,23,2019
2019-01-07,2019-01-07,Shoplifting,10,2019
2019-01-08,2019-01-08,Auto Parts,1,2019
2019-01-08,2019-01-08,Bicycle,1,2019
2019-01-08,2019-01-08,From Building,4,2019
2019-01-08,2019-01-08,From Vehicle,85,2019
2019-01-08,2019-01-08,Other,23,2019
2019-01-08,2019-01-08,Shoplifting,9,2019
2019-01-09,2019-01-09,Bicycle,2,2019
2019-01-09,2019-01-09,From Building,11,2019
2019-01-09,2019-01-09,From Vehicle,56,2019
2019-01-09,2019-01-09,Other,20,2019
2019-01-09,2019-01-09,Pickpocket,1,2019
2019-01-09,2019-01-09,Shoplifting,8,2019
2019-01-10,2019-01-10,Auto Parts,2,2019
2019-01-10,2019-01-10,Bicycle,1,2019
2019-01-10,2019-01-10,From Building,10,2019
2019-01-10,2019-01-10,From Vehicle,57,2019
2019-01-10,2019-01-10,Other,27,2019
2019-01-10,2019-01-10,Pickpocket,1,2019
